nationality,drivers,races,median_wins,max_wins
British,166,4521,6.0,104.0
American,158,1312,1.0,12.0
Italian,99,3418,1.0,13.0
French,73,3072,2.0,51.0
German,50,2418,6.0,91.0
Brazilian,32,1953,12.5,41.0
Argentine,24,373,12.0,24.0
Belgian,23,591,5.5,8.0
Swiss,23,496,3.5,5.0
South African,23,210,10.0,10.0
Japanese,20,669,0.0,0.0
Dutch,18,524,61.0,61.0
Australian,18,874,10.5,14.0
Austrian,15,690,10.0,25.0
Spanish,15,889,17.5,32.0
Canadian,14,486,8.5,11.0
New Zealander,10,401,6.0,8.0
Swedish,10,510,1.0,10.0
Finnish,9,1181,10.0,21.0
Mexican,6,456,4.0,6.0
Irish,5,92,0.0,0.0
Danish,5,211,0.0,0.0
Monegasque,4,166,6.0,6.0
Russian,4,213,0.0,0.0
Uruguayan,4,7,0.0,0.0
Portuguese,4,87,0.0,0.0
Rhodesian,4,18,0.0,0.0
East German,3,5,0.0,0.0
Venezuelan,3,120,1.0,1.0
Colombian,3,125,7.0,7.0
Indian,2,59,0.0,0.0
Thai,2,112,0.0,0.0
Indonesian,1,12,0.0,0.0
Argentine-Italian,1,2,0.0,0.0
Czech,1,3,0.0,0.0
American-Italian,1,2,0.0,0.0
Liechtensteiner,1,13,0.0,0.0
Chilean,1,37,0.0,0.0
Malaysian,1,16,0.0,0.0
Hungarian,1,20,0.0,0.0
Polish,1,99,1.0,1.0
Chinese,1,56,0.0,0.0
